Unnamed: 0;station;lat;long;entidad;FreqInf;AO;Altitud
243;29035000;10.14258333;-75.27827778;IDEAM;h;2;3
244;29035080;10.45358333;-74.95463889;IDEAM;h;2;11
245;29045000;10.63672222;-74.91888889;IDEAM;h;2;99
246;29045110;10.83388889;-75.04611111;IDEAM;h;2;58
247;29045150;7.746027778;-76.4325;IDEAM;h;2;487
248;29045180;11.03936111;-74.81975;IDEAM;h;2;7
249;29045190;10.91777778;-74.77972222;IDEAM;h;2;23
250;29065000;10.51002778;-74.50666667;IDEAM;h;5;14
251;29065140;10.452;-73.97338333;IDEAM;h;5;333
252;31095030;3.874416667;-67.91905556;IDEAM;h;3;98
253;32067030;3.79243;-73.92308;IDEAM;h;3;667
254;32105080;2.549999722;-72.65;IDEAM;h;3;185
255;33035010;4.574416667;-71.34075;IDEAM;h;3;168
256;35017020;4.103019444;-72.93638333;IDEAM;;3;177
257;35020300;4.253916667;-74.00269444;IDEAM;h;11;2283
258;35025080;4.661;-73.82733;IDEAM;h;11;3184
259;35025110;4.057361111;-73.46791667;IDEAM;h;3;338
260;35025502;4.55966194;-73.99972222;CAR;10min;;3343
261;35027510;4.6645;-73.86308333;IDEAM;;11;2425
262;35035100;4.14;-73.62;IDEAM;h;3;427
263;35035130;4.713666667;-73.80325;IDEAM;h;11;3837
264;35037100;4.235333333;-73.63536111;IDEAM;;3;533
265;35060210;4.65025;-73.64144444;IDEAM;h;11;2160
266;35075040;4.974361111;-73.31675;IDEAM;h;6;1742
267;35075070;5.21639;-73.34697;IDEAM;h;6;2003
268;35075080;5.39239;-73.56278;IDEAM;h;6;3358
269;35075090;5.08333333;-73.65;CAR;h;;2511
270;35080050;5.096361111;-73.05322222;IDEAM;h;6;1309
271;35085080;5.099194444;-73.436;IDEAM;h;6;1878
272;35095110;4.65147;-72.91547;IDEAM;h;3;345
273;35095120;5.55663;-72.88175;IDEAM;h;6;3018
274;35095130;6.362;-72.28201667;IDEAM;h;6;4355
275;35105050;4.46865;-72.95364;IDEAM;h;3;198
276;35165000;5.574972222;-72.941;IDEAM;h;6;3083
277;35185010;4.260361111;-72.56447222;IDEAM;h;3;178
278;35195020;5.027257778;-72.86984167;IDEAM;h;6;1120
279;35195050;5.407277778;-72.71722222;IDEAM;h;6;1512
280;35195060;5.523611111;-72.79097222;IDEAM;h;6;2940
281;35215020;5.320444444;-72.3875;IDEAM;h;6;313
282;35215030;5.720555556;-72.48847222;IDEAM;h;6;1468
283;35225030;4.910472222;-71.43305556;IDEAM;h;3;141
284;35235010;6.011666667;-72.52927778;IDEAM;h;6;3614
285;35235040;5.419027778;-71.66616667;IDEAM;h;6;171
286;35235050;5.818583333;-72.16677778;IDEAM;h;6;1003
287;35237040;5.419;-71.666;IDEAM;h;6;169
288;35260050;5.561361111;-70.28063889;IDEAM;h;3;107
289;36015020;5.816194444;-71.41983333;IDEAM;h;6;157
290;37015030;7.187;-72.8685;IDEAM;h;8;3309
291;37045010;6.946388889;-71.89055556;IDEAM;h;8;247
292;42077020;1.26;-70.24;IDEAM;h;3;171
293;44015060;1.157333333;-76.65183333;IDEAM;h;7;646
294;44035050;1.5;-75.66;IDEAM;h;4;239
295;44045030;1.303361111;-75.80772222;IDEAM;h;4;258
296;44055010;0.7375;-75.23611111;IDEAM;h;11;191
297;44197020;-1.309527778;-69.61925;IDEAM;h;4;59
298;46015030;2.063;-74.76269444;IDEAM;h;4;273
299;46035010;1.640222222;-75.16266667;IDEAM;h;4;278
300;47015100;1.159944444;-77.16147222;IDEAM;h;7;2803
301;47035030;-0.173722222;-74.89813889;IDEAM;h;7;182
302;48015010;-4.194;-69.941;IDEAM;h;11;82
303;48015040;-3.780305556;-70.36263889;IDEAM;;11;94
304;48015050;-4.193861111;-69.94091667;IDEAM;h;11;82
305;51025060;1.408638889;-78.28161111;IDEAM;h;7;506
306;51025080;1.248333333;-78.0925;IDEAM;h;7;1004
