Unnamed: 0,Station,Name,Sensor,Fecha,Valor,Estado,Estado_Anterior
2461660,2701500105,EL PLAYON,27,2017-01-26 16:00:00,76.0,0PSO0,
2461661,2701500105,EL PLAYON,27,2017-01-26 17:00:00,83.0,,
2461662,2701500105,EL PLAYON,27,2017-01-26 18:00:00,90.0,,
2461663,2701500105,EL PLAYON,27,2017-01-26 19:00:00,92.0,,
2461664,2701500105,EL PLAYON,27,2017-01-26 20:00:00,100.0,,
2461665,2701500105,EL PLAYON,27,2017-01-26 21:00:00,97.0,,
2461666,2701500105,EL PLAYON,27,2017-01-26 22:00:00,99.0,,
2461667,2701500105,EL PLAYON,27,2017-01-26 23:00:00,100.0,,
2461668,2701500105,EL PLAYON,27,2017-01-27 00:00:00,98.0,,
2461669,2701500105,EL PLAYON,27,2017-01-27 01:00:00,100.0,,
2461670,2701500105,EL PLAYON,27,2017-01-27 02:00:00,100.0,,
2461671,2701500105,EL PLAYON,27,2017-01-27 03:00:00,93.0,,
2461672,2701500105,EL PLAYON,27,2017-01-27 04:00:00,100.0,,
2461673,2701500105,EL PLAYON,27,2017-01-27 05:00:00,95.0,,
2461674,2701500105,EL PLAYON,27,2017-01-27 06:00:00,94.0,,
2461675,2701500105,EL PLAYON,27,2017-01-27 07:00:00,90.0,,
2461676,2701500105,EL PLAYON,27,2017-01-27 08:00:00,89.0,,
2461677,2701500105,EL PLAYON,27,2017-01-27 09:00:00,88.0,,
2461678,2701500105,EL PLAYON,27,2017-01-27 10:00:00,72.0,,
2461679,2701500105,EL PLAYON,27,2017-01-27 11:00:00,75.0,,
2461680,2701500105,EL PLAYON,27,2017-01-27 12:00:00,75.0,0PSO0,
2461681,2701500105,EL PLAYON,27,2017-01-27 13:00:00,69.0,,
2461682,2701500105,EL PLAYON,27,2017-01-27 14:00:00,69.0,0PSO0,
2461683,2701500105,EL PLAYON,27,2017-01-27 15:00:00,78.0,,
2461684,2701500105,EL PLAYON,27,2017-01-27 16:00:00,80.0,,
2461685,2701500105,EL PLAYON,27,2017-01-27 17:00:00,84.0,,
2461686,2701500105,EL PLAYON,27,2017-01-27 18:00:00,88.0,,
2461687,2701500105,EL PLAYON,27,2017-01-27 19:00:00,90.0,,
2461688,2701500105,EL PLAYON,27,2017-01-27 20:00:00,95.0,,
2461689,2701500105,EL PLAYON,27,2017-01-27 21:00:00,88.0,,
2461690,2701500105,EL PLAYON,27,2017-01-27 22:00:00,92.0,,
2461691,2701500105,EL PLAYON,27,2017-01-27 23:00:00,96.0,,
2461692,2701500105,EL PLAYON,27,2017-01-28 00:00:00,94.0,,
2461693,2701500105,EL PLAYON,27,2017-01-28 01:00:00,96.0,,
2461694,2701500105,EL PLAYON,27,2017-01-28 02:00:00,100.0,,
2461695,2701500105,EL PLAYON,27,2017-01-28 03:00:00,100.0,,
2461696,2701500105,EL PLAYON,27,2017-01-28 04:00:00,97.0,,
2461697,2701500105,EL PLAYON,27,2017-01-28 05:00:00,98.0,,
2461698,2701500105,EL PLAYON,27,2017-01-28 06:00:00,99.0,,
2461699,2701500105,EL PLAYON,27,2017-01-28 07:00:00,100.0,,
2461700,2701500105,EL PLAYON,27,2017-01-28 08:00:00,98.0,,
2461701,2701500105,EL PLAYON,27,2017-01-28 09:00:00,85.0,,
2461702,2701500105,EL PLAYON,27,2017-01-28 10:00:00,91.0,,
2461703,2701500105,EL PLAYON,27,2017-01-28 11:00:00,83.0,,
2461704,2701500105,EL PLAYON,27,2017-01-28 12:00:00,80.0,,
2461705,2701500105,EL PLAYON,27,2017-01-28 13:00:00,74.0,,
2461706,2701500105,EL PLAYON,27,2017-01-28 14:00:00,72.0,,
2461707,2701500105,EL PLAYON,27,2017-01-28 15:00:00,72.0,0PSO0,
2461708,2701500105,EL PLAYON,27,2017-01-28 16:00:00,73.0,,
2461709,2701500105,EL PLAYON,27,2017-01-28 17:00:00,80.0,,
2461710,2701500105,EL PLAYON,27,2017-01-28 18:00:00,88.0,,
2461711,2701500105,EL PLAYON,27,2017-01-28 19:00:00,93.0,,
2461712,2701500105,EL PLAYON,27,2017-01-28 20:00:00,95.0,,
2461713,2701500105,EL PLAYON,27,2017-01-28 21:00:00,99.0,,
2461714,2701500105,EL PLAYON,27,2017-01-28 22:00:00,96.0,,
2461715,2701500105,EL PLAYON,27,2017-01-28 23:00:00,99.0,,
2461716,2701500105,EL PLAYON,27,2017-01-29 00:00:00,100.0,,
2461717,2701500105,EL PLAYON,27,2017-01-29 01:00:00,100.0,,
2461718,2701500105,EL PLAYON,27,2017-01-29 02:00:00,100.0,,
2461719,2701500105,EL PLAYON,27,2017-01-29 03:00:00,100.0,,
2461720,2701500105,EL PLAYON,27,2017-01-29 04:00:00,100.0,,
2461721,2701500105,EL PLAYON,27,2017-01-29 05:00:00,100.0,,
2461722,2701500105,EL PLAYON,27,2017-01-29 06:00:00,100.0,0PSO0,
2461723,2701500105,EL PLAYON,27,2017-01-29 07:00:00,92.0,,
2461724,2701500105,EL PLAYON,27,2017-01-29 08:00:00,91.0,,
2461725,2701500105,EL PLAYON,27,2017-01-29 09:00:00,91.0,0PSO0,
2461726,2701500105,EL PLAYON,27,2017-01-29 10:00:00,86.0,,
2461727,2701500105,EL PLAYON,27,2017-01-29 11:00:00,81.0,,
2461728,2701500105,EL PLAYON,27,2017-01-29 12:00:00,66.0,,
2461729,2701500105,EL PLAYON,27,2017-01-29 13:00:00,59.0,,
2461730,2701500105,EL PLAYON,27,2017-01-29 14:00:00,59.0,0PSO0,
2461731,2701500105,EL PLAYON,27,2017-01-29 15:00:00,55.0,,
2461732,2701500105,EL PLAYON,27,2017-01-29 16:00:00,60.0,,
2461733,2701500105,EL PLAYON,27,2017-01-29 17:00:00,71.0,,
2461734,2701500105,EL PLAYON,27,2017-01-29 18:00:00,83.0,,
2461735,2701500105,EL PLAYON,27,2017-01-29 19:00:00,88.0,,
2461736,2701500105,EL PLAYON,27,2017-01-29 20:00:00,93.0,,
2461737,2701500105,EL PLAYON,27,2017-01-29 21:00:00,98.0,,
2461738,2701500105,EL PLAYON,27,2017-01-29 22:00:00,99.0,,
2461739,2701500105,EL PLAYON,27,2017-01-29 23:00:00,100.0,,
2461740,2701500105,EL PLAYON,27,2017-01-30 00:00:00,100.0,,
2461741,2701500105,EL PLAYON,27,2017-01-30 01:00:00,97.0,,
2461742,2701500105,EL PLAYON,27,2017-01-30 02:00:00,100.0,,
2461743,2701500105,EL PLAYON,27,2017-01-30 03:00:00,100.0,,
2461744,2701500105,EL PLAYON,27,2017-01-30 04:00:00,100.0,,
2461745,2701500105,EL PLAYON,27,2017-01-30 05:00:00,94.0,,
2461746,2701500105,EL PLAYON,27,2017-01-30 06:00:00,93.0,,
2461747,2701500105,EL PLAYON,27,2017-01-30 07:00:00,93.0,0PSO0,
2461748,2701500105,EL PLAYON,27,2017-01-30 08:00:00,94.0,,
2461749,2701500105,EL PLAYON,27,2017-01-30 09:00:00,84.0,,
2461750,2701500105,EL PLAYON,27,2017-01-30 10:00:00,84.0,0PSO0,
2461751,2701500105,EL PLAYON,27,2017-01-30 11:00:00,89.0,,
2461752,2701500105,EL PLAYON,27,2017-01-30 12:00:00,93.0,,
2461753,2701500105,EL PLAYON,27,2017-01-30 13:00:00,85.0,,
2461754,2701500105,EL PLAYON,27,2017-01-30 14:00:00,87.0,,
2461755,2701500105,EL PLAYON,27,2017-01-30 15:00:00,84.0,,
2461756,2701500105,EL PLAYON,27,2017-01-30 16:00:00,88.0,,
2461757,2701500105,EL PLAYON,27,2017-01-30 17:00:00,97.0,,
2461758,2701500105,EL PLAYON,27,2017-01-30 18:00:00,100.0,,
2461759,2701500105,EL PLAYON,27,2017-01-30 19:00:00,100.0,,
2461760,2701500105,EL PLAYON,27,2017-01-30 20:00:00,97.0,,
2461761,2701500105,EL PLAYON,27,2017-01-30 21:00:00,100.0,,
2461762,2701500105,EL PLAYON,27,2017-01-30 22:00:00,99.0,,
2461763,2701500105,EL PLAYON,27,2017-01-30 23:00:00,97.0,,
2461764,2701500105,EL PLAYON,27,2017-01-31 00:00:00,100.0,,
2461765,2701500105,EL PLAYON,27,2017-01-31 01:00:00,99.0,,
2461766,2701500105,EL PLAYON,27,2017-01-31 02:00:00,96.0,,
2461767,2701500105,EL PLAYON,27,2017-01-31 03:00:00,96.0,,
2461768,2701500105,EL PLAYON,27,2017-01-31 04:00:00,99.0,,
2461769,2701500105,EL PLAYON,27,2017-01-31 05:00:00,97.0,,
2461770,2701500105,EL PLAYON,27,2017-01-31 06:00:00,96.0,,
2461771,2701500105,EL PLAYON,27,2017-01-31 07:00:00,92.0,,
2461772,2701500105,EL PLAYON,27,2017-01-31 08:00:00,81.0,,
2461773,2701500105,EL PLAYON,27,2017-01-31 09:00:00,80.0,,
2461774,2701500105,EL PLAYON,27,2017-01-31 10:00:00,93.0,,
2461775,2701500105,EL PLAYON,27,2017-01-31 11:00:00,81.0,,
2461776,2701500105,EL PLAYON,27,2017-01-31 12:00:00,74.0,,
2461777,2701500105,EL PLAYON,27,2017-01-31 13:00:00,79.0,,
2461778,2701500105,EL PLAYON,27,2017-01-31 14:00:00,75.0,,
2461779,2701500105,EL PLAYON,27,2017-01-31 15:00:00,74.0,,
2461780,2701500105,EL PLAYON,27,2017-01-31 16:00:00,79.0,,
2461781,2701500105,EL PLAYON,27,2017-01-31 17:00:00,82.0,,
2461782,2701500105,EL PLAYON,27,2017-01-31 18:00:00,90.0,,
2461783,2701500105,EL PLAYON,27,2017-01-31 19:00:00,89.0,,
2461784,2701500105,EL PLAYON,27,2017-01-31 20:00:00,97.0,,
2461785,2701500105,EL PLAYON,27,2017-01-31 21:00:00,96.0,,
2461786,2701500105,EL PLAYON,27,2017-01-31 22:00:00,93.0,,
2461787,2701500105,EL PLAYON,27,2017-01-31 23:00:00,96.0,,
2461788,2701500105,EL PLAYON,27,2017-02-01 00:00:00,93.0,,
2461789,2701500105,EL PLAYON,27,2017-02-01 01:00:00,100.0,,
2461790,2701500105,EL PLAYON,27,2017-02-01 02:00:00,93.0,,
2461791,2701500105,EL PLAYON,27,2017-02-01 03:00:00,97.0,,
2461792,2701500105,EL PLAYON,27,2017-02-01 04:00:00,95.0,,
2461793,2701500105,EL PLAYON,27,2017-02-01 05:00:00,96.0,,
