,Station,Fecha,Evaporacion,Estado
0,28025120,2007-04-24 16:00:00,,
1,28025120,2007-04-30 21:00:00,,
2,28025120,2007-04-30 22:00:00,,
3,28025120,2007-04-30 23:00:00,,
4,28025120,2007-05-01 00:00:00,,
5,28025120,2007-05-01 01:00:00,,
6,28025120,2007-05-01 02:00:00,,
7,28025120,2007-05-01 03:00:00,,
8,28025120,2007-05-01 04:00:00,,
9,28025120,2007-05-01 05:00:00,,
10,28025120,2007-05-01 06:00:00,,
11,28025120,2007-05-02 01:00:00,,
12,28025120,2007-05-02 03:00:00,,
13,28025120,2007-05-02 04:00:00,,
14,28025120,2007-05-02 05:00:00,,
15,28025120,2007-05-02 06:00:00,,
16,28025120,2007-06-14 22:00:00,,
17,28025120,2007-06-14 23:00:00,,
18,28025120,2007-06-15 00:00:00,,
19,28025120,2007-06-15 01:00:00,,
20,28025120,2007-06-15 02:00:00,,
21,28025120,2007-06-15 03:00:00,,
22,28025120,2007-06-15 05:00:00,,
23,28025120,2007-06-15 06:00:00,1.0,
24,28025120,2007-06-16 05:00:00,,
25,28025120,2007-07-18 09:00:00,,
26,28025120,2007-07-18 10:00:00,,
27,28025120,2007-07-18 11:00:00,,
28,28025120,2007-07-18 14:00:00,,
29,28025120,2007-07-18 15:00:00,,
30,28025120,2007-07-18 16:00:00,,
31,28025120,2007-07-18 17:00:00,,
32,28025120,2007-07-18 19:00:00,,
33,28025120,2007-07-18 20:00:00,,
34,28025120,2007-07-18 21:00:00,,
35,28025120,2007-07-18 22:00:00,,
36,28025120,2007-07-18 23:00:00,,
37,28025120,2007-07-19 00:00:00,,
38,28025120,2007-07-19 01:00:00,,
39,28025120,2007-07-19 02:00:00,1.0,
40,28025120,2007-07-19 03:00:00,,
41,28025120,2007-07-19 04:00:00,,
42,28025120,2007-07-19 05:00:00,,
43,28025120,2007-07-19 06:00:00,,
44,28025120,2007-07-19 07:00:00,,
45,28025120,2007-07-19 08:00:00,,
46,28025120,2007-07-19 10:00:00,,
47,28025120,2007-07-19 11:00:00,,
