,Station,Fecha,Evaporacion,Estado
0,21205480,2018-10-30 00:00:00,,
1,21205480,2018-10-30 00:10:00,,
2,21205480,2018-10-30 00:20:00,0.44899999999998386,
3,21205480,2018-10-30 00:30:00,0.04200000000000159,
4,21205480,2018-10-30 00:40:00,0.3439999999999941,
5,21205480,2018-10-30 00:50:00,0.09100000000000819,
6,21205480,2018-10-30 02:00:00,,
7,21205480,2018-10-30 02:10:00,0.12199999999998568,
8,21205480,2018-10-30 02:20:00,,
9,21205480,2018-10-30 02:30:00,0.08299999999999841,
10,21205480,2018-10-30 02:40:00,0.3760000000000048,
11,21205480,2018-10-30 02:50:00,,
12,21205480,2018-10-30 03:00:00,0.0519999999999925,
13,21205480,2018-10-30 03:10:00,0.01999999999998181,
14,21205480,2018-10-30 03:20:00,0.056000000000011596,
15,21205480,2018-10-30 03:30:00,0.05299999999999727,
16,21205480,2018-10-30 03:40:00,,
17,21205480,2018-10-30 03:50:00,,
18,21205480,2018-10-30 04:00:00,,
19,21205480,2018-10-30 04:10:00,,
20,21205480,2018-10-30 04:20:00,,
21,21205480,2018-10-30 04:30:00,,
22,21205480,2018-10-30 04:40:00,,
23,21205480,2018-10-30 04:50:00,,
24,21205480,2018-10-30 05:00:00,,
25,21205480,2018-10-30 05:10:00,,
26,21205480,2018-10-30 05:20:00,0.5580000000000211,
27,21205480,2018-10-30 05:30:00,0.1869999999999834,
28,21205480,2018-10-30 05:40:00,0.004000000000019099,
29,21205480,2018-10-30 05:50:00,,
30,21205480,2018-10-30 06:00:00,0.07699999999999818,
31,21205480,2018-10-30 06:10:00,,
32,21205480,2018-10-30 06:20:00,,
33,21205480,2018-10-30 06:30:00,,
34,21205480,2018-10-30 06:40:00,0.3269999999999982,
35,21205480,2018-10-30 06:50:00,0.07799999999997453,
36,21205480,2018-10-30 07:00:00,,
37,21205480,2018-10-30 07:10:00,0.06399999999999295,
38,21205480,2018-10-30 07:20:00,,
39,21205480,2018-10-30 07:30:00,,
40,21205480,2018-10-30 07:40:00,,
41,21205480,2018-10-30 07:50:00,0.0049999999999954525,
42,21205480,2018-10-30 08:00:00,,
43,21205480,2018-10-30 08:10:00,,
44,21205480,2018-10-30 08:20:00,,
45,21205480,2018-10-30 08:30:00,0.25899999999998613,
46,21205480,2018-10-30 08:40:00,0.4550000000000125,
47,21205480,2018-10-30 08:50:00,,
48,21205480,2018-10-30 09:00:00,0.10699999999999932,
49,21205480,2018-10-30 09:10:00,0.9660000000000082,
50,21205480,2018-10-30 09:20:00,,
51,21205480,2018-10-30 09:30:00,,
52,21205480,2018-10-30 09:40:00,,
53,21205480,2018-10-30 09:50:00,0.06900000000001683,
54,21205480,2018-10-30 10:00:00,,
55,21205480,2018-10-30 10:10:00,,
56,21205480,2018-10-30 10:20:00,0.2980000000000018,
57,21205480,2018-10-30 10:30:00,0.12000000000000455,
58,21205480,2018-10-30 10:40:00,0.11299999999999955,
59,21205480,2018-10-30 10:50:00,,
60,21205480,2018-10-30 11:00:00,0.09800000000001319,
61,21205480,2018-10-30 11:10:00,,
62,21205480,2018-10-30 11:20:00,0.08899999999999864,
63,21205480,2018-10-30 11:30:00,,
64,21205480,2018-10-30 11:40:00,0.15100000000001046,
65,21205480,2018-10-30 11:50:00,0.08299999999999841,
66,21205480,2018-10-30 12:00:00,,
67,21205480,2018-10-30 12:10:00,,
68,21205480,2018-10-30 12:20:00,0.06799999999998363,
69,21205480,2018-10-30 12:30:00,0.06700000000000728,
70,21205480,2018-10-30 12:40:00,0.14700000000001978,
71,21205480,2018-10-30 12:50:00,,
72,21205480,2018-10-30 13:00:00,0.3369999999999891,
73,21205480,2018-10-30 13:10:00,,
74,21205480,2018-10-30 13:20:00,,
75,21205480,2018-10-30 13:30:00,,
76,21205480,2018-10-30 13:40:00,0.36199999999999477,
77,21205480,2018-10-30 13:50:00,,
78,21205480,2018-10-30 14:00:00,0.3009999999999877,
79,21205480,2018-10-30 14:10:00,0.2740000000000009,
80,21205480,2018-10-30 14:20:00,,
81,21205480,2018-10-30 14:30:00,0.019000000000005457,
82,21205480,2018-10-30 14:40:00,,
83,21205480,2018-10-30 14:50:00,,
84,21205480,2018-10-30 16:00:00,,
85,21205480,2018-10-30 16:10:00,0.31100000000000705,
86,21205480,2018-10-30 16:20:00,0.024999999999977263,
