entidad,TotalDatos,Estado_0PSO,Estado_0PAT,Estado_0PER,Estado_0P,Estado_0PC,Per_0PSO,Per_0PAT,Per_0PER,Per_0P,Per_0PC
CAR - CORPORACION AUTONOMA REGIONAL DE CUNDINAMARCA,4189018,160670,453088,1228419,1842177,2346841,3.0,9.817105263157893,28.211315789473684,41.02736842105263,58.97263157894737
CORPORACION REGIONAL DEL QUINDIO,80903,2601,7088,1673,11362,69541,4.503333333333334,6.667777777777777,1.4644444444444444,12.636666666666667,87.36333333333333
ESTACIONES PARTICULARES,539392,0,8725,530655,539380,12,0.0,1.62,98.38,100.0,0.0
IDEAM,17379532,446349,1351095,2424188,4221632,13157900,1.959005376344086,6.145833333333333,15.786532258064517,23.89163978494624,76.10836021505376
INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS JOSE BENITO VIVES DE ANDREIS,34176,414,2724,5928,9066,25110,1.21,7.97,17.35,26.53,73.47
INVEMAR,52756,283,7158,13809,21250,31506,0.54,13.57,26.18,40.28,59.72
ISAGEN  S.A. E.S.P,1165,0,15,3,18,1147,0.0,1.29,0.26,1.55,98.45
