CodEstacion,fecha_inicial,fecha_final
26075501,2016-05-26 15:15:00,2018-03-24 14:35:00
26085160,2014-02-22 17:00:00,2020-05-04 02:00:00
26085501,2016-06-15 16:20:00,2019-02-22 07:30:00
26095320,2005-06-10 17:00:00,2023-03-17 04:00:00
26105240,2012-10-10 01:00:00,2021-02-16 15:00:00
26105250,2005-06-10 20:00:00,2024-09-09 04:00:00
26115090,2005-06-14 09:00:00,2024-09-13 07:00:00
26115501,2016-06-02 14:30:00,2018-01-30 16:55:00
26125300,2005-05-18 15:00:00,2024-09-13 07:00:00
26125501,2016-06-28 15:05:00,2018-05-08 12:30:00
26125502,2016-08-01 10:45:00,2019-02-09 17:35:00
26125503,2016-04-23 06:25:00,2019-03-20 14:10:00
26125504,2016-06-16 08:30:00,2018-09-06 07:30:00
26125505,2016-06-15 16:35:00,2018-09-07 07:50:00
26125506,2016-06-02 14:35:00,2018-09-04 10:10:00
26125507,2016-05-27 18:30:00,2019-04-19 16:55:00
26125508,2016-06-02 14:35:00,2019-02-13 13:30:00
26125509,2016-06-16 10:35:00,2018-09-05 08:35:00
26135290,2005-05-14 19:00:00,2019-05-17 07:00:00
26135300,2005-05-15 18:00:00,2023-03-17 00:00:00
26135310,2005-09-29 19:00:00,2008-09-07 08:00:00
26135501,2016-07-22 10:00:00,2019-02-13 10:00:00
26135502,2016-06-15 15:35:00,2019-04-26 13:10:00
26135503,2016-06-02 14:30:00,2019-02-18 14:05:00
26145090,2005-10-26 01:00:00,2023-03-17 03:00:00
26145501,2016-06-02 09:45:00,2019-02-21 08:25:00
26145504,2016-06-02 14:35:00,2019-02-19 09:30:00
26155230,2001-09-04 21:28:00,2020-01-31 16:00:00
26155240,2007-11-16 18:00:00,2022-09-08 13:00:00
26155502,2017-05-11 15:30:00,2018-09-20 15:20:00
26155503,2016-06-16 08:35:00,2018-10-04 15:25:00
26155505,2016-06-15 16:30:00,2019-02-18 09:30:00
26165501,2016-06-15 10:45:00,2018-06-07 16:40:00
26165502,2016-06-15 16:30:00,2018-11-18 16:55:00
26175501,2016-06-15 13:20:00,2018-09-26 16:00:00
26175502,2016-06-15 16:20:00,2018-11-13 15:30:00
26185030,2005-01-01 01:00:00,2020-04-15 08:00:00
26185050,2006-04-12 19:00:00,2023-03-16 17:00:00
26185501,2016-06-16 08:35:00,2019-02-06 09:30:00
26195501,2016-06-15 14:35:00,2018-11-19 16:30:00
26195502,2016-06-02 14:35:00,2018-11-20 14:15:00
26205501,2016-06-02 14:35:00,2019-02-12 08:30:00
26215501,2016-06-02 14:35:00,2017-12-10 10:05:00
