CodEstacion,fecha_inicial,fecha_final
21205791,2014-08-29 10:00:00,2023-06-21 05:00:00
21205910,2019-03-05 15:00:00,2023-03-17 04:00:00
21205940,2018-03-07 16:00:00,2023-03-17 04:00:00
21206280,2019-03-05 15:00:00,2023-03-17 04:00:00
21206560,2023-12-14 11:00:00,2023-12-20 09:00:00
21206600,2015-01-27 19:00:00,2023-03-17 04:00:00
21206930,2010-11-04 01:00:00,2023-03-17 04:00:00
21206940,2003-12-21 15:27:05,2014-07-22 04:00:00
21206950,2005-06-20 19:00:00,2022-06-21 23:00:00
21206960,2008-06-15 10:00:00,2023-06-13 09:00:00
21206990,2005-01-28 05:00:00,2023-03-17 04:00:00
21215150,2006-12-03 18:00:00,2023-01-14 10:00:00
21215180,2006-12-09 13:00:00,2023-03-17 05:00:00
21235030,2005-04-09 09:00:00,2023-10-24 07:00:00
21237020,2017-10-18 11:30:00,2017-10-18 11:40:00
21237060,2018-10-29 15:00:00,2024-01-25 00:10:00
21255090,2023-02-10 17:00:00,2024-03-06 12:00:00
21255160,2016-09-27 15:40:00,2016-09-27 15:40:00
22020020,2023-02-09 16:00:00,2024-02-24 19:00:00
22025040,2005-01-01 13:00:00,2012-10-20 23:00:00
22045010,2019-03-05 15:00:00,2021-06-18 01:00:00
22055020,2023-02-08 15:00:00,2024-07-01 04:00:00
22065040,2023-02-09 10:00:00,2024-02-09 17:00:00
22070030,2023-02-11 14:00:00,2024-07-01 04:00:00
22075050,2009-06-11 10:00:00,2022-01-20 16:00:00
23020080,2017-04-23 13:00:00,2017-04-27 10:00:00
23025040,2023-02-11 16:00:00,2024-07-01 04:00:00
23035030,2005-10-30 01:00:00,2020-04-06 19:00:00
23065110,2018-03-09 13:00:00,2023-03-17 04:00:00
23065120,2023-01-22 12:00:00,2024-07-01 04:00:00
23065160,2018-10-29 15:00:00,2024-06-29 16:00:00
23065180,2023-03-23 19:00:00,2023-05-16 15:00:00
23065504,2015-11-02 08:00:00,2021-05-05 21:00:00
23065505,2015-11-04 22:00:00,2021-05-05 21:00:00
23065506,2018-10-29 15:00:00,2020-12-30 18:00:00
23065507,2018-10-29 15:00:00,2024-06-30 09:00:00
23067020,2018-02-22 13:00:00,2018-02-26 09:00:00
23085080,2019-03-05 15:00:00,2023-03-17 04:00:00
23085270,2014-06-13 14:00:00,2024-04-13 19:00:00
