Station,minimo,maximo,media,desvest,varianza
11025501,42.62063,99.99997,84.43569255680157,11.55396374145099,133.4940781387642
11030010,65.0,100.0,93.3995008701934,9.89148012031844,97.84137897065487
11035030,65.0,100.0,93.23786277918951,9.309573299855645,86.66815502538512
11045010,65.0,100.0,91.01350235009258,10.441132677638132,109.01725159204284
11050020,65.0,100.0,92.89509470616804,9.675892528380484,93.62289622076928
11080010,65.0,100.0,92.07927397948202,9.935904652283737,98.72220125927362
11105020,55.0,100.0,88.32849043231751,11.191331605335296,125.2459031005767
11115020,43.0,100.0,85.94925434962717,14.192238938021703,201.41964607389937
11115501,42.67199,100.0,86.10342203781909,13.19162032144228,174.0188467050889
11120040,65.0,100.0,88.4227100681302,9.780323278074647,95.65472342364882
11135030,55.0,100.0,85.09856736220566,12.040978191165676,144.98515580012744
11155030,56.0,100.0,88.78260869565217,10.294914747595136,105.98526966025184
11159010,55.0,100.0,86.19928972256014,7.958484960495716,63.3374828664365
11175000,65.0,100.0,90.11067997043607,9.506658216137854,90.37655043846136
12015060,49.0,100.0,84.46111178102014,10.066733657816092,101.33912653740738
12015100,49.0,100.0,86.99945455785095,12.366057325852221,152.91937378626338
12015110,49.0,100.0,86.18250192183832,12.363944705264505,152.8671286748382
12025040,49.0,100.0,84.23790372478653,10.35329224171946,107.19066024244837
12045020,49.0,100.0,84.55509029886527,9.809827545085787,96.23271646432383
13035501,49.0,100.0,86.13488109784754,14.63101469681914,214.06659105853768
13055040,49.0,100.0,81.33689192334549,13.100861065759497,171.63256066433306
13085030,50.0,100.0,86.2818077144502,8.935911396070777,79.85051247842759
13085050,49.0,100.0,83.14391367604267,12.86213801117853,165.4345942186036
13095010,50.0,100.0,84.03152545888209,8.449493484077294,71.39394013746464
14015010,54.0,100.0,84.73863701992492,6.795370467881917,46.177059795761714
14015020,50.0,100.0,81.32085248863969,9.682910566061967,93.75875703035449
14015080,50.0,100.0,82.92391941504951,9.136919047754754,83.48328968522362
14017001,64.0,100.0,85.99220675570996,5.456192185089344,29.77003316063002
15015050,45.0,97.0,74.45788849347568,10.267014107533644,105.41157868429488
15015060,47.0,100.0,92.93864210801546,9.601772080253314,92.19402708113206
15015100,58.0,100.0,94.039446525495,7.83305181480373,61.356700733400004
15015120,45.0,100.0,70.0399049314117,11.778549623980265,138.73423124456562
15035020,39.0,100.0,84.48068124046772,12.403369729880371,153.84358065611266
15065040,39.0,100.0,73.65471850617752,17.041516706927673,290.41329167249506
15065180,39.0,100.0,70.40567261452797,12.352916049788536,152.5945349331232
15065190,39.0,100.0,77.97750051604321,17.516158286022996,306.8158011010121
15065501,39.0,100.0,77.65608274867586,17.277443656311114,298.5100592970051
15075150,39.0,99.0,68.17195701419968,14.845142721087152,220.37826240944685
15075501,39.0,100.0,72.06169146597126,12.555272056114704,157.63485640305475
15079010,42.0,98.0,75.90075062552127,11.778322145278617,138.72887255796067
15085030,39.0,100.0,78.8206234863069,13.368133527291965,178.7069940035075
15085050,39.0,100.0,80.75926484486537,13.16344675833295,173.2763305594663
16015110,48.0,100.0,72.29854809437387,12.929908293100178,167.18252846798075
16015120,48.0,100.0,80.31435982844258,13.555979924850734,183.7645917229561
16015130,48.0,100.0,81.3199704334971,13.536597554202313,183.23947334443605
16015501,48.0,100.0,71.45359959397204,14.44725534878318,208.7231871129442
16015502,47.23139,100.0,80.86475728717382,17.21051459859177,296.20181274834044
16025040,48.0,100.0,79.58771615446645,11.786487938784415,138.9212979311105
16025501,47.23198,100.0,76.00632228193112,14.613576882249996,213.5566292934315
16025502,47.23145,100.0,85.62120407169724,17.395421175157672,302.6006778611239
16025503,47.23327,100.0,84.01828660943563,13.764145670520143,189.4517060392984
16035010,48.0,100.0,65.62376910016978,14.146591245450246,200.12604386584954
16035030,48.0,100.0,83.57479835641455,13.95873869476862,194.84638594883074
16035501,47.23895,100.0,78.42079046683308,12.591263912886836,158.5399269239663
16040050,48.0,100.0,86.10251406267938,12.589487070829236,158.49518470657648
16055120,48.0,100.0,88.81286941940893,13.223955705056637,174.87300448929997
16055501,47.23741,100.0,86.56248281435157,12.58965571076573,158.49943091561613
17015010,54.0,100.0,80.83160753422482,6.82308981827403,46.554554668234736
17017001,10.0,100.0,78.8949577827601,16.956162149386266,287.51143483627953
17025020,58.0,100.0,89.71040352766241,7.456207770076238,55.595034310545266
17035010,2.0,94.0,46.71079136690648,35.2876379286459,1245.2173905832085
21015030,52.0,100.0,87.94982688070506,13.998734095787425,195.96455628456138
21015040,52.0,100.0,87.22210137973684,11.148199135273513,124.28234395971312
21015050,52.0,100.0,85.1340206185567,12.17844477175708,148.31451705873735
21015060,52.0,100.0,84.0970249293125,14.493560710353831,210.06330206471225
21015070,52.0,100.0,85.26841899083708,10.328277981279387,106.67332605858061
21015501,51.85212,100.0,82.61529578131531,13.545074641070462,183.4690470321701
21015502,51.85186,100.0,79.70149205435862,11.883386000243334,141.21486283077928
21025030,52.0,99.0,76.52640425829948,10.599485155884276,112.34908556981112
21035040,52.0,99.0,78.61018694550063,11.57922648943134,134.07848609354843
21035501,51.85276,99.17516,80.2995796116329,10.948419167362054,119.86788226426083
21045010,43.0,94.0,73.96825396825396,16.788982806483403,281.8699436763953
21045501,51.85173,100.0,82.80866171817954,11.338719337480367,128.5665562141512
21050060,52.0,99.0,83.04396268785628,13.799438978046416,190.4245161088267
21050090,43.0,100.0,82.1319513230508,13.137942070928553,172.60552185907443
21055070,43.0,100.0,78.14864774101106,13.826376142769414,191.1686772413432
21055501,42.04765,100.0,75.43611451851191,12.030898227367718,144.74251215727972
21065040,43.0,100.0,81.46224512659646,14.676203849588514,215.39095943467672
21065501,42.04561,100.0,74.61004060930655,12.462912731853008,155.3241937617838
21085501,42.04346,99.10301,70.90992145170354,13.186475335058963,173.8831317621184
21095010,43.0,97.0,74.83934426229509,15.360270851167472,235.93792062122512
