Station;minimo;maximo;media;desvest;varianza
25025330;993.9;1008.2;1001.499414;2.067740304;4.275549964
25025350;-3168.4;3277.9;1004.679482;106.9088371;11429.49945
25025380;128.2;1014.4;1005.40614;40.89156646;1672.120208
26015010;-3251.2;3277.9;824.9710534;100.9795455;10196.86862
26015030;-2731.5;4350.4;655.5413666;137.8535205;19003.59312
26035100;0.1;3277.8;826.8668473;20.86887442;435.5099196
26055100;-2330.4;3277.8;644.374846;294.415043;86680.21757
26055110;-3239.5;3277.9;963.1346587;111.6372911;12462.88477
26055120;-2340.8;3277.9;920.1030744;129.6445351;16807.70549
26075150;8;930.1;905.8023948;5.305025274;28.14329316
26085170;-2227.2;5439.8;940.7484303;150.7988853;22740.30381
26095320;0.1;3277.8;891.7588638;35.33270832;1248.400277
26105250;0.1;3277.8;878.1172773;42.26452686;1786.290231
26125061;8;889.7;878.9500488;11.4994648;132.2376907
26125710;8;885.1;860.4513853;13.18606397;173.8722829
26125720;876.2;888.6;883.2926257;1.886146392;3.557548214
26125760;129.7;815.9;808.4409077;46.40152974;2153.101962
26135290;-801.9;3277.8;838.1620286;20.08364668;403.352864
26135300;-3179.1;3277.8;814.6481169;21.27185225;452.4916981
26145090;-12916.8;11225.6;828.0751944;95.04574935;9033.69447
26155150;620.1;626.8;623.5957489;1.018896886;1.038150863
26155170;767.8;776.6;772.7989474;1.304899476;1.702762643
26155220;17;3277.8;844.1576716;90.24355569;8143.899344
26155270;600;600;600;;
26180180;762;770.5;766.8512878;1.301333292;1.693468337
26180250;684.2;691.3;687.9064942;1.095969713;1.201149612
27015280;-2920.8;3277.9;689.2327666;116.3307713;13532.84835
27015300;-2259.2;3040.4;746.6049917;119.3440145;14242.99381
27015310;-2041.6;3277.8;849.0315973;36.99378926;1368.540444
27015330;3.2;857.2;851.4667176;5.653282862;31.95960712
28015070;972.7;986.27;980.1159872;2.299968253;5.289853967
28015110;1003;1017.1;1010.414567;2.054194661;4.219715706
28025090;991;1004.2;998.1994026;2.060020652;4.243685088
28025120;-3200;3277.9;739.2659991;323.0901313;104387.233
28025130;998;1008.4;1003.208714;1.799410393;3.237877763
28025502;500.1;1022.3;988.7124189;6.514505064;42.43877623
28035060;-3205.6;6318.7;1000.424926;111.1349049;12350.9671
28035070;866.4;877.5;871.6437587;1.392265303;1.938402675
29004520;-2518;3277.9;1003.741782;73.31849041;5375.601036
29015000;607.6;1015;974.6138831;100.3037742;10060.84711
29035000;500;1016.5;999.6628294;57.9493981;3358.13274
29035080;1001.3;1015.7;1008.790751;2.0077114;4.030905065
29045110;1000;1011;1005.530935;1.754238716;3.077353473
29045150;-3200;3277.8;984.3584483;36.94937552;1365.256352
29045180;1007.6;1011.3;1009.555263;1.046925323;1.096052632
29045190;-2406;1014.7;1006.064337;28.53388663;814.1826862
29065000;907.8;1040.9;1008.889708;3.015886787;9.095573115
29065140;20.81;97.8;97.1320249;2.746704363;7.544384857
31095030;-3017.6;3277.9;1001.451215;86.08356397;7410.379986
32105080;-2990.8;3277.9;942.1486182;188.6303489;35581.40852
33035010;41.18;999.83;991.5581747;22.31227856;497.8377748
35017020;600;610.2;605.1;7.212489168;52.02
35020300;750.5;782.7;777.3187623;1.537836789;2.364941991
35025080;-3273.2;5734.4;673.7030228;189.6879669;35981.52477
35025502;681.944;706.186;686.4087409;1.412890677;1.996260066
35035100;-3195.6;3277.9;968.1390402;96.16550142;9247.803663
35035130;585.3;650.7;645.1801014;1.247980411;1.557455106
35037100;656.8;656.8;656.8;;
35060210;784.3;795.2;789.5479045;1.542161211;2.3782612
35075040;826;835.9;831.2663768;1.584591459;2.510930092
35075070;500.2;836.8;731.8347718;126.2943462;15950.26188
35075080;-3275;3278;698.1827029;131.9753051;17417.48114
35075090;595.542;805.2975;743.1463566;1.427871159;2.038816047
35095110;966.6;980;973.3041933;2.311801501;5.34442618
35095120;9.6;3277.9;709.1249429;16.41878797;269.5765983
35105050;949.4;980.8;972.3402844;2.301555484;5.297157647
35165000;703.4;713.8;708.6433974;1.370880596;1.879313607
35185010;-3126;3278;987.6262341;87.48899014;7654.323395
35195020;0.839;968;945.9495236;117.9237472;13906.01014
35195050;845;854;849.7961433;1.743882111;3.041124818
35195060;-13043.2;723.9;717.8594622;111.1505256;12354.43935
35215020;2;2979;975.5417236;17.49924927;306.2237248
35215030;849.3;860.9;854.933495;1.673764922;2.801489015
35225030;987.1;1004.2;995.5216809;2.421299118;5.862689419
35235010;658.2;667.5;662.6730464;1.205591546;1.453450977
35235040;984.3;1000.2;992.5786241;2.359679605;5.568087839
35235050;850.1;906.2;899.6183998;3.24993126;10.56205319
35237040;988.6;996.1;992.4432432;1.92311684;3.698378378
35260050;0.2;1005.5;984.4227889;111.7044222;12477.87793
36015020;-3274;3278;986.0612928;125.3913822;15722.99874
37015030;-3273.6;3192;701.4606204;187.2935528;35078.87491
37045010;981.1;996.9;989.0554215;2.186533828;4.78093018
44035050;-3200;3277.8;937.3652399;119.8243627;14357.87791
44045030;977.4;986.6;981.8393232;1.784062624;3.182879448
44055010;10;997.8;986.8913094;38.7319342;1500.162727
44197020;51.2;1011.4;1003.100547;28.92119976;836.4357958
46015030;-10122.2;9659.4;990.9516696;198.9470209;39579.91712
46035010;970.9;989.2;979.6623388;2.648888401;7.016609761
47015100;725.6;734.5;730.1227867;1.352509845;1.829282881
47035030;578.3;3277.8;890.3039473;104.5379012;10928.17279
48015010;500.1;1009.9;998.5003873;36.20896048;1311.088819
48015040;-0.2;3277.9;984.701114;108.042141;11673.10423
48015050;500;1010.8;1000.462818;4.779243393;22.84116741
51025080;873.3;884.1;878.9685419;1.504535707;2.263627692
51025090;-200;1015;799.1953979;218.9466498;47937.63544
51035020;1002.8;1017;1010.7439;1.912427472;3.657378835
52020070;757.9;766.8;762.9406019;1.341881584;1.800646187
52040050;788.7;798.7;794.3626935;1.445967681;2.090822533
52045080;-3230;4768.1;763.8949128;113.0353265;12776.98503
52050060;708.8;754.2;713.2536041;2.189098562;4.792152515
52050080;749.4;761.2;757.0426855;1.426335992;2.034434361
52050090;742.1;753.1;746.8165935;1.455100271;2.1173168
52055150;-3014.8;3277.9;683.7914503;131.3950474;17264.65847
52055160;627.1;634.2;631.019337;1.146475682;1.31440649
52055210;0.1;3277.9;732.2866984;11.07303349;122.6120707
52055220;-2483.2;3277.8;711.32879;16.40465514;269.1127101
52055230;7;755.6;715.758375;14.09550283;198.6832
53045040;-2974.4;3277.8;983.6255049;159.3343126;25387.42316
53075020;-2522.4;3277.8;835.6663776;88.2385509;7786.041864
54010010;-8058.4;12988.9;1044.997383;709.5837427;503509.0879
54015010;837.5;847.3;842.6733338;1.434886832;2.058900221
54015020;994.5;1007.7;1001.729932;1.889777468;3.571258879
54017040;600;600;600;;
54020020;996;1010.7;1003.521119;2.031157507;4.125600819
54020090;998.9;1010.4;1004.57334;1.803476687;3.252528161
54025010;887.2;899.5;893.1118616;1.601724364;2.565520938
54050010;1001;1014.3;1008.667009;1.888960789;3.568172861
55015020;1003.7;1016.7;1010.664032;1.856258243;3.445694665
