Station,minimo,maximo,media,mediana,desvest,varianza
11105020,-3273.2,3277.8,314.5681568522125,28.2,660.0608621301379,435680.34171598096
11135030,-1609.4,1796.4,29.557125021058347,29.9,19.900921659874907,396.0466829124783
12015100,-429.6,3277.8,29.307979639194553,29.1,13.604573615310338,185.0844232543982
12015110,-2892.8,568.1,29.667111931590586,29.4,12.721111368922498,161.82667446052923
13085050,-6662.4,10962.4,30.55619442331401,30.0,101.62583004723588,10327.809332789671
15075150,-3251.2,3277.9,33.18526650366748,32.5,49.68811081019685,2468.908355886401
15085050,-2483.2,5356.4,30.7563514792463,31.9,61.86443475662403,3827.2082877565913
16055120,-524.7,3277.9,24.17295496765101,20.8,51.76886675090377,2680.0155646728294
21015050,-3275.2,3277.8,23.969448466353327,19.3,84.9826410116251,7222.049273310746
21015070,-1636.8,3277.9,18.32514774609926,18.2,23.798148644777058,566.351878918904
21115010,11.4,3277.8,30.39889619617304,30.1,26.50736780704199,702.6405480578061
21115180,-246.1,3277.8,31.413993985907275,28.9,41.636140624088114,1733.5682060688403
21185090,23.2,31.1,29.0158256880734,29.1,1.0279773721203598,1.0567374775914808
21195170,-293.0,3277.8,13.423404190776651,13.3,12.833541202029197,164.699779784181
21195190,-3225.6,6435.6,42.90589999902285,18.1,185.27501247028133,34326.830245862904
21202270,0.0,2.9,0.0014439644493294834,0.0,0.021738677629693375,0.0004725701050877311
21206930,-3172.4,3277.8,22.830068105697286,12.2,128.68435891867986,16559.66423031162
21206950,0.1,3277.8,12.00564166463204,12.1,9.556924642752314,91.33480862724645
21206990,-9003.3,10957.1,27.38374619012019,15.8,131.75874325528176,17360.366424211254
21215150,-497.0,6348.8,94.14664311887813,1.9,356.6618944730165,127207.70696908118
21255160,25.0,35.6,29.934302371385805,29.8,1.4949058563477517,2.2347435193428047
22025040,4.9,33.0,7.0626316433994605,6.9,1.2165475756900026,1.4799880039172226
22075050,8.6,14.6,11.639374090247454,11.7,0.6288799971647109,0.3954900508338868
23085260,6.6,326.3,20.00061561737815,19.6,3.5724125397844704,12.762131354409329
23105060,-2867.2,3277.8,25.705905070387445,25.6,39.06584518974404,1526.1402603890476
23195040,0.0,0.0,0.0,0.0,0.0,0.0
23195240,-39.9,3277.8,35.6738030951597,29.9,87.74926143404531,7699.932882220431
24015110,22.4,22.4,22.4,22.4,,
24025090,-3225.6,4505.6,43.74368943043355,23.0,178.7574338319536,31954.220150185265
24035370,5.4,3277.9,12.556185126705149,12.5,9.68060500265837,93.71411321749426
24035380,-8.0,3277.8,1.571177766108364,2.0,20.371680527249257,415.00536750430655
24035390,-1632.5,102.4,9.45631371860693,10.6,5.693663026681023,32.4177986613945
24035430,-3036.4,6459.0,43.93576718959585,17.9,190.36738503308842,36239.74128433614
24055070,-12107.3,13107.1,48.91282960627852,22.9,451.5582204105645,203904.82642035594
24055080,-1561.5,3277.8,48.545421259191315,29.2,161.107452194403,25955.611152571855
25025280,0.0,1516.0,47.73202006018054,30.1,146.1024281373839,21345.919507639428
25025340,0.0,41.5,31.38270182883702,30.8,2.807010038378962,7.87930535556026
25027720,13.8,32.2,20.86551724137932,13.9,8.546042570962262,73.03484362469926
26015010,22.4,22.4,22.4,22.4,,
26015030,-2731.5,3277.9,6.1408502123239534,9.8,99.54596520825586,9909.399189243286
26035100,10.7,3277.8,22.01119987895294,21.8,25.372709815249237,643.774403368845
26055100,-1587.2,3277.8,18.483625536123146,18.2,12.08181858829909,145.9703404005694
26055110,-3003.2,3277.9,52.461065539201215,25.9,132.8838196959719,17658.109536991575
26095320,-3265.2,3277.9,28.533537330640332,25.5,62.939623839920735,3961.396249110718
26105250,-2073.6,3277.8,26.41036890144518,26.4,25.34546914966503,642.3928064166217
26135290,3.7,3277.8,22.250355811228292,22.4,18.533193799864776,343.4792724233462
26135300,-2580.2,3277.8,20.16399033323384,20.2,24.480926266289547,599.3157508555055
26135320,-0.7,32.5,6.209473497292017,3.6,7.157229166287986,51.225929338763414
26145090,-6241.2,1515.5,38.97022104141983,21.1,87.48658906580364,7653.903266368793
26155240,-817.1,3277.8,10.774742635927158,10.7,21.744468887152674,472.8219271843507
26155250,0.3,81.2,15.38637461480803,5.6,21.03316070491624,442.3938492388326
26155270,10.4,98.0,13.567703974895396,11.8,11.54096323311253,133.19383234805522
26157190,11.1,15.9,13.469139200772664,13.5,1.0130284109384669,1.0262265613685153
26157200,7.1,10.1,8.755763734518895,8.8,0.4886214459858317,0.23875091747728502
26225060,-10195.6,6354.0,146.4663929202251,29.7,365.8921526080702,133877.06734016736
27015280,-2585.6,3277.9,14.653845130720315,14.5,24.27531156988515,589.2907518149999
27015320,-0.5,3277.9,18.282271585465594,16.3,24.28809001093251,589.9113163791596
28025120,6.8,3277.9,17.339864872708695,17.1,19.468213763882584,379.0113471562273
29015040,17.8,3277.8,29.87754740313273,29.6,15.07037428619279,227.1161811259408
29045000,0.0,0.58,0.008688524590163933,0.0,0.06775380634462423,0.004590578274184842
29045150,0.0,3277.8,32.94786274420924,31.4,31.25108526980591,976.6303305406799
29065130,-102.2,451.9,31.858123404611455,30.1,14.055450805498388,197.55569734578532
29065140,21.14,50.86,28.39493673185203,28.02,2.564359673283,6.575940533960096
