,Station,Name,Sensor,Fecha,Valor
2589847,0012045020,CRISTO REY,0027,2016-12-30 13:00:00.000,66.0
2589848,0012045020,CRISTO REY,0027,2016-12-30 14:00:00.000,65.0
2589849,0012045020,CRISTO REY,0027,2016-12-30 15:00:00.000,70.0
2589850,0012045020,CRISTO REY,0027,2016-12-30 16:00:00.000,73.0
2589851,0012045020,CRISTO REY,0027,2016-12-30 17:00:00.000,76.0
2589852,0012045020,CRISTO REY,0027,2016-12-30 18:00:00.000,80.0
2589853,0012045020,CRISTO REY,0027,2016-12-30 19:00:00.000,78.0
2589854,0012045020,CRISTO REY,0027,2016-12-30 20:00:00.000,80.0
2589855,0012045020,CRISTO REY,0027,2016-12-30 21:00:00.000,82.0
2589856,0012045020,CRISTO REY,0027,2016-12-30 22:00:00.000,83.0
2589857,0012045020,CRISTO REY,0027,2016-12-30 23:00:00.000,82.0
2589858,0012045020,CRISTO REY,0027,2016-12-31 00:00:00.000,83.0
2589859,0012045020,CRISTO REY,0027,2016-12-31 01:00:00.000,84.0
2589860,0012045020,CRISTO REY,0027,2016-12-31 02:00:00.000,82.0
2589861,0012045020,CRISTO REY,0027,2016-12-31 03:00:00.000,84.0
2589862,0012045020,CRISTO REY,0027,2016-12-31 04:00:00.000,85.0
2589863,0012045020,CRISTO REY,0027,2016-12-31 05:00:00.000,93.0
2589864,0012045020,CRISTO REY,0027,2016-12-31 06:00:00.000,97.0
2589865,0012045020,CRISTO REY,0027,2016-12-31 07:00:00.000,97.0
2589866,0012045020,CRISTO REY,0027,2016-12-31 08:00:00.000,88.0
2589867,0012045020,CRISTO REY,0027,2016-12-31 09:00:00.000,77.0
2589868,0012045020,CRISTO REY,0027,2016-12-31 10:00:00.000,65.0
2589869,0012045020,CRISTO REY,0027,2016-12-31 11:00:00.000,69.0
2589870,0012045020,CRISTO REY,0027,2016-12-31 12:00:00.000,68.0
2589871,0012045020,CRISTO REY,0027,2016-12-31 13:00:00.000,67.0
2589872,0012045020,CRISTO REY,0027,2016-12-31 14:00:00.000,66.0
2589873,0012045020,CRISTO REY,0027,2016-12-31 15:00:00.000,67.0
2589874,0012045020,CRISTO REY,0027,2016-12-31 16:00:00.000,73.0
2589875,0012045020,CRISTO REY,0027,2016-12-31 17:00:00.000,77.0
2589876,0012045020,CRISTO REY,0027,2016-12-31 18:00:00.000,78.0
2589877,0012045020,CRISTO REY,0027,2016-12-31 19:00:00.000,81.0
2589878,0012045020,CRISTO REY,0027,2016-12-31 20:00:00.000,83.0
2589879,0012045020,CRISTO REY,0027,2016-12-31 21:00:00.000,83.0
2589880,0012045020,CRISTO REY,0027,2016-12-31 22:00:00.000,85.0
2589881,0012045020,CRISTO REY,0027,2016-12-31 23:00:00.000,84.0
2589882,0012045020,CRISTO REY,0027,2017-01-01 00:00:00.000,85.0
2589883,0012045020,CRISTO REY,0027,2017-01-01 01:00:00.000,90.0
2589884,0012045020,CRISTO REY,0027,2017-01-01 02:00:00.000,90.0
2589885,0012045020,CRISTO REY,0027,2017-01-01 03:00:00.000,95.0
2589886,0012045020,CRISTO REY,0027,2017-01-01 04:00:00.000,98.0
659165,0012045020,CRISTO REY,0027,2017-01-01 05:00:00.000,99.0
659166,0012045020,CRISTO REY,0027,2017-01-01 06:00:00.000,100.0
659167,0012045020,CRISTO REY,0027,2017-01-01 07:00:00.000,99.0
659168,0012045020,CRISTO REY,0027,2017-01-01 08:00:00.000,88.0
659169,0012045020,CRISTO REY,0027,2017-01-01 09:00:00.000,73.0
659170,0012045020,CRISTO REY,0027,2017-01-01 10:00:00.000,66.0
659171,0012045020,CRISTO REY,0027,2017-01-01 11:00:00.000,68.0
659172,0012045020,CRISTO REY,0027,2017-01-01 12:00:00.000,66.0
659173,0012045020,CRISTO REY,0027,2017-01-01 13:00:00.000,66.0
659174,0012045020,CRISTO REY,0027,2017-01-01 14:00:00.000,69.0
659175,0012045020,CRISTO REY,0027,2017-01-01 15:00:00.000,73.0
659176,0012045020,CRISTO REY,0027,2017-01-01 16:00:00.000,75.0
659177,0012045020,CRISTO REY,0027,2017-01-01 17:00:00.000,79.0
659178,0012045020,CRISTO REY,0027,2017-01-01 18:00:00.000,81.0
659179,0012045020,CRISTO REY,0027,2017-01-01 19:00:00.000,82.0
659180,0012045020,CRISTO REY,0027,2017-01-01 20:00:00.000,82.0
