Unnamed: 0,Station,Name,Sensor,Fecha,Valor,Estado,Estado_Anterior
128094,47035030,PNN LA PAYA,243,2007-08-21 09:00:00,19.9,0PSO0,
128095,47035030,PNN LA PAYA,243,2007-08-21 10:00:00,20.5,0PSO0,
128096,47035030,PNN LA PAYA,243,2007-08-21 11:00:00,20.8,0PSO0,
128097,47035030,PNN LA PAYA,243,2007-08-21 12:00:00,20.9,0PSO0,
128098,47035030,PNN LA PAYA,243,2007-08-21 13:00:00,21.3,0PSO0,
128099,47035030,PNN LA PAYA,243,2007-08-21 14:00:00,21.6,0PSO0,
128100,47035030,PNN LA PAYA,243,2007-08-21 15:00:00,21.6,0PSO0,
128101,47035030,PNN LA PAYA,243,2007-08-21 16:00:00,21.6,0PSO0,
128102,47035030,PNN LA PAYA,243,2007-08-22 08:00:00,19.9,0PSO0,
128103,47035030,PNN LA PAYA,243,2007-08-22 09:00:00,19.3,0PSO0,
128104,47035030,PNN LA PAYA,243,2007-08-22 10:00:00,19.7,0PSO0,
128105,47035030,PNN LA PAYA,243,2007-08-22 11:00:00,20.2,0PSO0,
128106,47035030,PNN LA PAYA,243,2007-08-22 12:00:00,20.2,0PSO0,
128107,47035030,PNN LA PAYA,243,2007-08-22 13:00:00,20.3,0PSO0,
128108,47035030,PNN LA PAYA,243,2007-08-22 14:00:00,20.8,0PSO0,
128109,47035030,PNN LA PAYA,243,2007-08-22 15:00:00,21.0,0PSO0,
128110,47035030,PNN LA PAYA,243,2007-08-22 16:00:00,20.7,0PSO0,
128111,47035030,PNN LA PAYA,243,2007-08-22 17:00:00,20.5,0PSO0,
128112,47035030,PNN LA PAYA,243,2007-08-22 18:00:00,21.1,0PSO0,
128113,47035030,PNN LA PAYA,243,2007-08-22 19:00:00,21.1,0PSO0,
128114,47035030,PNN LA PAYA,243,2007-08-22 20:00:00,21.0,0PSO0,
128115,47035030,PNN LA PAYA,243,2007-08-22 21:00:00,20.9,0PSO0,
128116,47035030,PNN LA PAYA,243,2007-08-22 22:00:00,20.9,0PSO0,
128117,47035030,PNN LA PAYA,243,2007-08-22 23:00:00,20.7,0PSO0,
128118,47035030,PNN LA PAYA,243,2007-08-23 00:00:00,20.6,,
128119,47035030,PNN LA PAYA,243,2007-08-23 01:00:00,20.5,,
128120,47035030,PNN LA PAYA,243,2007-08-23 02:00:00,20.4,,
128121,47035030,PNN LA PAYA,243,2007-08-23 03:00:00,20.2,,
128122,47035030,PNN LA PAYA,243,2007-08-23 04:00:00,20.0,,
128123,47035030,PNN LA PAYA,243,2007-08-23 05:00:00,19.7,,
128124,47035030,PNN LA PAYA,243,2007-08-23 06:00:00,19.5,,
128125,47035030,PNN LA PAYA,243,2007-08-23 07:00:00,19.6,,
128126,47035030,PNN LA PAYA,243,2007-08-23 08:00:00,19.7,,
128127,47035030,PNN LA PAYA,243,2007-08-23 09:00:00,19.3,,
128128,47035030,PNN LA PAYA,243,2007-08-23 10:00:00,19.5,,
128129,47035030,PNN LA PAYA,243,2007-08-23 11:00:00,19.7,,
128130,47035030,PNN LA PAYA,243,2007-08-23 12:00:00,19.8,,
128131,47035030,PNN LA PAYA,243,2007-08-23 13:00:00,20.1,,
128132,47035030,PNN LA PAYA,243,2007-08-23 14:00:00,19.9,,
128133,47035030,PNN LA PAYA,243,2007-08-23 15:00:00,20.3,,
128134,47035030,PNN LA PAYA,243,2007-08-23 16:00:00,20.8,,
128135,47035030,PNN LA PAYA,243,2007-08-23 17:00:00,20.3,,
128136,47035030,PNN LA PAYA,243,2007-08-23 18:00:00,20.5,,
128137,47035030,PNN LA PAYA,243,2007-08-23 19:00:00,20.4,,
128138,47035030,PNN LA PAYA,243,2007-08-23 20:00:00,20.3,,
128139,47035030,PNN LA PAYA,243,2007-08-23 21:00:00,20.4,,
